"","tripdata_cleaned$member_casual","tripdata_cleaned$day_of_week","tripdata_cleaned$ride_length"
"1","casual",1,2800.42315934329
"2","member",1,1029.31054852866
"3","casual",2,2410.30519295445
"4","member",2,851.778597830046
"5","casual",3,2204.70684291838
"6","member",3,830.53035078856
"7","casual",4,2222.2633670804
"8","member",4,838.821779339667
"9","casual",5,2326.90228601117
"10","member",5,836.667565321015
"11","casual",6,2362.7947636327
"12","member",6,870.520779852287
"13","casual",7,2568.92388049307
"14","member",7,1008.02127118165
