"","tripdata_cleaned$member_casual","tripdata_cleaned$month","tripdata_cleaned$ride_length"
"1","casual","Jan",4393.72618464961
"2","member","Jan",686.716485211085
"3","casual","Feb",5720.62413263168
"4","member","Feb",793.677329046035
"5","casual","Mar",2704.3836209401
"6","member","Mar",838.810087160426
"7","casual","Apr",2640.99321452384
"8","member","Apr",964.786999392886
"9","casual","May",2566.19349227059
"10","member","May",963.133615947747
"11","casual","Jun",2567.95610375278
"12","member","Jun",949.08554713685
"13","casual","Jul",2653.30081850467
"14","member","Jul",933.001390440267
"15","casual","Aug",2139.52741222442
"16","member","Aug",902.605385755253
"17","casual","Sep",2305.29196169039
"18","member","Sep",916.662525215478
"19","casual","Oct",1877.96249908026
"20","member","Oct",836.476011122581
"21","casual","Nov",2008.81046577072
"22","member","Nov",809.487914992386
"23","casual","Dec",1657.27633512984
"24","member","Dec",740.843644367581
